	host species	locality	season	year	case	Dper	Dcon	Fgib	Scep	Sacsp	Scur	Sobe	Sten	Sbra	Hben	Hspl	Sspa	Lput	Lesp	Leco	Spap	Sdim	Smin	Aadr	Nper	Cbio	Lmed	Lcep	Lcha	Limi	Lszi	Lcon	Lvan	Mcep	Erge
2CSPS01	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0
2CSPS02	Mc	SPS	A	2004	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
2CSPS03	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	14	5	3	0	0	0	0	0	0
2CSPS04	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	1	0	4	0	0	0	0	0	0
2CSPS05	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	2	0	0	0	0	0	0
2CSPS06	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0
2CSPS07	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0
2CSPS08	Mc	SPS	A	2004	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
2CSPS09	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	6	4	1	0	2	0	0	0	0	0	0
2CSPS10	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0
2CSPS11	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	2	0	0	0	0	0	0
2CSPS12	Mc	SPS	A	2004	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0
2CSPS13	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2CSPS14	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	17	6	0	0	0	0	0	0	0
2CSPS15	Mc	SPS	A	2004	0	0	0	54	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	15	1	0	0	5	0	0	0	0	0	0
2CSPS16	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2CSPS17	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
2CSPS18	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2CSPS19	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
2CSPS20	Mc	SPS	A	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0
4CSPS01	Mc	SPS	A	2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	4	0	0	0	0	0	0	0
4CSPS02	Mc	SPS	A	2005	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	7	4	6	2	0	0	0	0	0	0	0
4CSPS03	Mc	SPS	A	2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	0	0	0	0	0	0	0	0	0
4CSPS04	Mc	SPS	A	2005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0
