	genus	subfamily	family	Suborder	order	class	phyllum
Dper	Dicrogaster	Haploporinae	Haploporidae	Xiphidiata	Plagiorchiida	Trematoda	Platlyhelminthes
Dcon	Dicrogaster	Haploporinae	Haploporidae	Xiphidiata	Plagiorchiida	Trematoda	Platlyhelminthes
Fgib	Forticulcita	Haploporinae	Haploporidae	Xiphidiata	Plagiorchiida	Trematoda	Platlyhelminthes
Scep	Saccocoelium	Haploporinae	Haploporidae	Xiphidiata	Plagiorchiida	Trematoda	Platlyhelminthes
Sacsp	Saccocoelium	Haploporinae	Haploporidae	Xiphidiata	Plagiorchiida	Trematoda	Platlyhelminthes
Scur	Saccocoelium	Haploporinae	Haploporidae	Xiphidiata	Plagiorchiida	Trematoda	Platlyhelminthes
Sobe	Saccocoelium	Haploporinae	Haploporidae	Xiphidiata	Plagiorchiida	Trematoda	Platlyhelminthes
Sten	Saccocoelium	Haploporinae	Haploporidae	Xiphidiata	Plagiorchiida	Trematoda	Platlyhelminthes
Sbra	Saccocoelium	Haploporinae	Haploporidae	Xiphidiata	Plagiorchiida	Trematoda	Platlyhelminthes
Hben	Haploporus	Haploporinae	Haploporidae	Xiphidiata	Plagiorchiida	Trematoda	Platlyhelminthes
Hspl	Haplosplanchnus	Haplosplanchninae	Haplosplanchnidae	Haplosplanchnata	Plagiorchiida	Trematoda	Platlyhelminthes
Sspa	Schikhobalotrema	Schikhobalotrematinae	Haplosplanchnidae	Haplosplanchnata	Plagiorchiida	Trematoda	Platlyhelminthes
Lput	Lecithobotrys	Haploporinae	Haploporidae	Xiphidiata	Plagiorchiida	Trematoda	Platlyhelminthes
Lesp	Lecithobotrys	Haploporinae	Haploporidae	Xiphidiata	Plagiorchiida	Trematoda	Platlyhelminthes
Leco	Lecithaster	Lecithasterinae	Lecithasteridae	Hemiurata	Plagiorchiida	Trematoda	Platlyhelminthes
Spap	Saturnius	Bunocotylinae	Hemiuridae	Hemiurata	Plagiorchiida	Trematoda	Platlyhelminthes
Sdim	Saturnius	Bunocotylinae	Hemiuridae	Hemiurata	Plagiorchiida	Trematoda	Platlyhelminthes
Smin	Saturnius	Bunocotylinae	Hemiuridae	Hemiurata	Plagiorchiida	Trematoda	Platlyhelminthes
Aadr	Acanthogyrus	Pallisentinae	Quadrigyridae	h	Gyracanthocephala	Eoacanthocephala	Acanthocephala
Nper	Neoechinorhynchus	Neoechinorhynchinae	Neoechinorhynchinae	e	Neoechinorhynchida	Eoacanthocephala	Acanthocephala
Cbio	Cucullanus	Cucullaninae	Cucullanidae	Spirurina	Rhabditida	Chromadorea	Nematoda
Lmed	Ligophorus	Ancyrocephalinae	Dactylogyridae	f	Dactylogyridea	Monogenea	Platlyhelminthes
Lcep	Ligophorus	Ancyrocephalinae	Dactylogyridae	f	Dactylogyridea	Monogenea	Platlyhelminthes
Lcha	Ligophorus	Ancyrocephalinae	Dactylogyridae	f	Dactylogyridea	Monogenea	Platlyhelminthes
Limi	Ligophorus	Ancyrocephalinae	Dactylogyridae	f	Dactylogyridea	Monogenea	Platlyhelminthes
Lszi	Ligophorus	Ancyrocephalinae	Dactylogyridae	f	Dactylogyridea	Monogenea	Platlyhelminthes
Lcon	Ligophorus	Ancyrocephalinae	Dactylogyridae	f	Dactylogyridea	Monogenea	Platlyhelminthes
Lvan	Ligophorus	Ancyrocephalinae	Dactylogyridae	f	Dactylogyridea	Monogenea	Platlyhelminthes
Mcep	Metamicrocotyla	Metamicrocotylinae	Microcotylidae	g	Mazocraeidea	Monogenea	Platlyhelminthes
Erge	Ergenstrema	Ancyrocephalinae	Dactylogyridae	f	Dactylogyridea	Monogenea	Platlyhelminthes
